userId,name,email,active,score
u072,Leslie Lamport,user072@example.com,false,80.00
u073,Frances Allen,user073@example.com,true,81.25
u074,Tim BernersLee,user074@example.com,true,82.50
u075,Linus Torvalds,user075@example.com,false,83.75
u076,Guido Rossum,user076@example.com,true,84.00
u077,Brendan Eich,user077@example.com,true,85.25
u078,Anita Borg,user078@example.com,false,86.50
u079,Mary Jackson,user079@example.com,true,87.75
u080,Ada Lovelace,user080@example.com,true,88.00
u081,Alan Turing,user081@example.com,false,89.25
u082,Grace Hopper,user082@example.com,true,90.50
u083,Katherine Johnson,user083@example.com,true,91.75
u084,Dorothy Vaughan,user084@example.com,false,92.00
u085,Edsger Dijkstra,user085@example.com,true,93.25
u086,Barbara Liskov,user086@example.com,true,94.50
u087,Donald Knuth,user087@example.com,false,95.75
u088,Margaret Hamilton,user088@example.com,true,96.00
u089,Ken Thompson,user089@example.com,true,97.25
u090,Dennis Ritchie,user090@example.com,false,98.50
u091,Radia Perlman,user091@example.com,true,99.75
u092,Leslie Lamport,user092@example.com,true,100.00
u093,Frances Allen,user093@example.com,false,70.25
u094,Tim BernersLee,user094@example.com,true,71.50
u095,Linus Torvalds,user095@example.com,true,72.75
u096,Guido Rossum,user096@example.com,false,73.00
u097,Brendan Eich,user097@example.com,true,74.25
u098,Anita Borg,user098@example.com,true,75.50
u099,Mary Jackson,user099@example.com,false,76.75
u100,Ada Lovelace,user100@example.com,true,77.00
u101,Alan Turing,user101@example.com,true,78.25
u102,Grace Hopper,user102@example.com,false,79.50
u103,Katherine Johnson,user103@example.com,true,80.75
u104,Dorothy Vaughan,user104@example.com,true,81.00
u105,Edsger Dijkstra,user105@example.com,false,82.25
u106,Barbara Liskov,user106@example.com,true,83.50
u107,Donald Knuth,user107@example.com,true,84.75
u108,Margaret Hamilton,user108@example.com,false,85.00
u109,Ken Thompson,user109@example.com,true,86.25
u110,Dennis Ritchie,user110@example.com,true,87.50
u111,Radia Perlman,user111@example.com,false,88.75
u112,Leslie Lamport,user112@example.com,true,89.00
u113,Frances Allen,user113@example.com,true,90.25
u114,Tim BernersLee,user114@example.com,false,91.50
u115,Linus Torvalds,user115@example.com,true,92.75
u116,Guido Rossum,user116@example.com,true,93.00
u117,Brendan Eich,user117@example.com,false,94.25
u118,Anita Borg,user118@example.com,true,95.50
u119,Mary Jackson,user119@example.com,true,96.75
u120,Ada Lovelace,user120@example.com,false,97.00
u121,Alan Turing,user121@example.com,true,98.25
u122,Grace Hopper,user122@example.com,true,99.50
u123,Katherine Johnson,user123@example.com,false,100.75
u124,Dorothy Vaughan,user124@example.com,true,70.00
u125,Edsger Dijkstra,user125@example.com,true,71.25
u126,Barbara Liskov,user126@example.com,false,72.50
u127,Donald Knuth,user127@example.com,true,73.75
u128,Margaret Hamilton,user128@example.com,true,74.00
u129,Ken Thompson,user129@example.com,false,75.25
u130,Dennis Ritchie,user130@example.com,true,76.50
u131,Radia Perlman,user131@example.com,true,77.75
u132,Leslie Lamport,user132@example.com,false,78.00
u133,Frances Allen,user133@example.com,true,79.25
u134,Tim BernersLee,user134@example.com,true,80.50
u135,Linus Torvalds,user135@example.com,false,81.75
u136,Guido Rossum,user136@example.com,true,82.00
u137,Brendan Eich,user137@example.com,true,83.25
u138,Anita Borg,user138@example.com,false,84.50
u139,Mary Jackson,user139@example.com,true,85.75
u140,Ada Lovelace,user140@example.com,true,86.00
u141,Alan Turing,user141@example.com,false,87.25
u142,Grace Hopper,user142@example.com,true,88.50
u143,Katherine Johnson,user143@example.com,true,89.75
u144,Dorothy Vaughan,user144@example.com,false,90.00
u145,Edsger Dijkstra,user145@example.com,true,91.25
u146,Barbara Liskov,user146@example.com,true,92.50
u147,Donald Knuth,user147@example.com,false,93.75
u148,Margaret Hamilton,user148@example.com,true,94.00
u149,Ken Thompson,user149@example.com,true,95.25
u150,Dennis Ritchie,user150@example.com,false,96.50
u151,Radia Perlman,user151@example.com,true,97.75
u152,Leslie Lamport,user152@example.com,true,98.00
u153,Frances Allen,user153@example.com,false,99.25
u154,Tim BernersLee,user154@example.com,true,100.50
u155,Linus Torvalds,user155@example.com,true,70.75
u156,Guido Rossum,user156@example.com,false,71.00
u157,Brendan Eich,user157@example.com,true,72.25
u158,Anita Borg,user158@example.com,true,73.50
u159,Mary Jackson,user159@example.com,false,74.75
u160,Ada Lovelace,user160@example.com,true,75.00
u161,Alan Turing,user161@example.com,true,76.25
u162,Grace Hopper,user162@example.com,false,77.50
u163,Katherine Johnson,user163@example.com,true,78.75
u164,Dorothy Vaughan,user164@example.com,true,79.00
u165,Edsger Dijkstra,user165@example.com,false,80.25
u166,Barbara Liskov,user166@example.com,true,81.50
u167,Donald Knuth,user167@example.com,true,82.75
u168,Margaret Hamilton,user168@example.com,false,83.00
u169,Ken Thompson,user169@example.com,true,84.25
u170,Dennis Ritchie,user170@example.com,true,85.50
u171,Radia Perlman,user171@example.com,false,86.75
u172,Leslie Lamport,user172@example.com,true,87.00
u173,Frances Allen,user173@example.com,true,88.25
u174,Tim BernersLee,user174@example.com,false,89.50
u175,Linus Torvalds,user175@example.com,true,90.75
u176,Guido Rossum,user176@example.com,true,91.00
u177,Brendan Eich,user177@example.com,false,92.25
u178,Anita Borg,user178@example.com,true,93.50
u179,Mary Jackson,user179@example.com,true,94.75
u180,Ada Lovelace,user180@example.com,false,95.00
u181,Alan Turing,user181@example.com,true,96.25
u182,Grace Hopper,user182@example.com,true,97.50
u183,Katherine Johnson,user183@example.com,false,98.75
u184,Dorothy Vaughan,user184@example.com,true,99.00
u185,Edsger Dijkstra,user185@example.com,true,100.25
u186,Barbara Liskov,user186@example.com,false,70.50
u187,Donald Knuth,user187@example.com,true,71.75
u188,Margaret Hamilton,user188@example.com,true,72.00
u189,Ken Thompson,user189@example.com,false,73.25
u190,Dennis Ritchie,user190@example.com,true,74.50
u191,Radia Perlman,user191@example.com,true,75.75
u192,Leslie Lamport,user192@example.com,false,76.00
u193,Frances Allen,user193@example.com,true,77.25
u194,Tim BernersLee,user194@example.com,true,78.50
u195,Linus Torvalds,user195@example.com,false,79.75
u196,Guido Rossum,user196@example.com,true,80.00
u197,Brendan Eich,user197@example.com,true,81.25
u198,Anita Borg,user198@example.com,false,82.50
u199,Mary Jackson,user199@example.com,true,83.75
u200,Ada Lovelace,user200@example.com,true,84.00
u201,Alan Turing,user201@example.com,false,85.25
u202,Grace Hopper,user202@example.com,true,86.50
u203,Katherine Johnson,user203@example.com,true,87.75
u204,Dorothy Vaughan,user204@example.com,false,88.00
u205,Edsger Dijkstra,user205@example.com,true,89.25
u206,Barbara Liskov,user206@example.com,true,90.50
u207,Donald Knuth,user207@example.com,false,91.75
u208,Margaret Hamilton,user208@example.com,true,92.00
u209,Ken Thompson,user209@example.com,true,93.25
u210,Dennis Ritchie,user210@example.com,false,94.50
u211,Radia Perlman,user211@example.com,true,95.75
u212,Leslie Lamport,user212@example.com,true,96.00
u213,Frances Allen,user213@example.com,false,97.25
u214,Tim BernersLee,user214@example.com,true,98.50
u215,Linus Torvalds,user215@example.com,true,99.75
u216,Guido Rossum,user216@example.com,false,100.00
u217,Brendan Eich,user217@example.com,true,70.25
u218,Anita Borg,user218@example.com,true,71.50
u219,Mary Jackson,user219@example.com,false,72.75
u220,Ada Lovelace,user220@example.com,true,73.00
u221,Alan Turing,user221@example.com,true,74.25
u222,Grace Hopper,user222@example.com,false,75.50
u223,Katherine Johnson,user223@example.com,true,76.75
u224,Dorothy Vaughan,user224@example.com,true,77.00
u225,Edsger Dijkstra,user225@example.com,false,78.25
u226,Barbara Liskov,user226@example.com,true,79.50
u227,Donald Knuth,user227@example.com,true,80.75
u228,Margaret Hamilton,user228@example.com,false,81.00
u229,Ken Thompson,user229@example.com,true,82.25
u230,Dennis Ritchie,user230@example.com,true,83.50
u231,Radia Perlman,user231@example.com,false,84.75
u232,Leslie Lamport,user232@example.com,true,85.00
u233,Frances Allen,user233@example.com,true,86.25
u234,Tim BernersLee,user234@example.com,false,87.50
u235,Linus Torvalds,user235@example.com,true,88.75
u236,Guido Rossum,user236@example.com,true,89.00
u237,Brendan Eich,user237@example.com,false,90.25
u238,Anita Borg,user238@example.com,true,91.50
u239,Mary Jackson,user239@example.com,true,92.75
u240,Ada Lovelace,user240@example.com,false,93.00
u241,Alan Turing,user241@example.com,true,94.25
u242,Grace Hopper,user242@example.com,true,95.50
u243,Katherine Johnson,user243@example.com,false,96.75
u244,Dorothy Vaughan,user244@example.com,true,97.00
u245,Edsger Dijkstra,user245@example.com,true,98.25
u246,Barbara Liskov,user246@example.com,false,99.50
u247,Donald Knuth,user247@example.com,true,100.75
u248,Margaret Hamilton,user248@example.com,true,70.00
u249,Ken Thompson,user249@example.com,false,71.25
u250,Dennis Ritchie,user250@example.com,true,72.50
