customerId,customer.name,customer.email,customer.segment
CUST-161,Alan Dijkstra,customer161@example.com,public-sector
CUST-162,Grace Ritchie,customer162@example.com,education
CUST-163,Katherine Torvalds,customer163@example.com,startup
CUST-164,Dorothy Lovelace,customer164@example.com,mid-market
CUST-165,Edsger Dijkstra,customer165@example.com,enterprise
CUST-166,Barbara Ritchie,customer166@example.com,public-sector
CUST-167,Donald Torvalds,customer167@example.com,education
CUST-168,Margaret Lovelace,customer168@example.com,startup
CUST-169,Ken Dijkstra,customer169@example.com,mid-market
CUST-170,Dennis Ritchie,customer170@example.com,enterprise
CUST-171,Radia Torvalds,customer171@example.com,public-sector
CUST-172,Leslie Lovelace,customer172@example.com,education
CUST-173,Frances Dijkstra,customer173@example.com,startup
CUST-174,Tim Ritchie,customer174@example.com,mid-market
CUST-175,Linus Torvalds,customer175@example.com,enterprise
CUST-176,Guido Lovelace,customer176@example.com,public-sector
CUST-177,Brendan Dijkstra,customer177@example.com,education
CUST-178,Anita Ritchie,customer178@example.com,startup
CUST-179,Mary Torvalds,customer179@example.com,mid-market
CUST-180,Ada Lovelace,customer180@example.com,enterprise
CUST-181,Alan Dijkstra,customer181@example.com,public-sector
CUST-182,Grace Ritchie,customer182@example.com,education
CUST-183,Katherine Torvalds,customer183@example.com,startup
CUST-184,Dorothy Lovelace,customer184@example.com,mid-market
CUST-185,Edsger Dijkstra,customer185@example.com,enterprise
CUST-186,Barbara Ritchie,customer186@example.com,public-sector
CUST-187,Donald Torvalds,customer187@example.com,education
CUST-188,Margaret Lovelace,customer188@example.com,startup
CUST-189,Ken Dijkstra,customer189@example.com,mid-market
CUST-190,Dennis Ritchie,customer190@example.com,enterprise
CUST-191,Radia Torvalds,customer191@example.com,public-sector
CUST-192,Leslie Lovelace,customer192@example.com,education
CUST-193,Frances Dijkstra,customer193@example.com,startup
CUST-194,Tim Ritchie,customer194@example.com,mid-market
CUST-195,Linus Torvalds,customer195@example.com,enterprise
CUST-196,Guido Lovelace,customer196@example.com,public-sector
CUST-197,Brendan Dijkstra,customer197@example.com,education
CUST-198,Anita Ritchie,customer198@example.com,startup
CUST-199,Mary Torvalds,customer199@example.com,mid-market
CUST-200,Ada Lovelace,customer200@example.com,enterprise
CUST-201,Alan Dijkstra,customer201@example.com,public-sector
CUST-202,Grace Ritchie,customer202@example.com,education
CUST-203,Katherine Torvalds,customer203@example.com,startup
CUST-204,Dorothy Lovelace,customer204@example.com,mid-market
CUST-205,Edsger Dijkstra,customer205@example.com,enterprise
CUST-206,Barbara Ritchie,customer206@example.com,public-sector
CUST-207,Donald Torvalds,customer207@example.com,education
CUST-208,Margaret Lovelace,customer208@example.com,startup
CUST-209,Ken Dijkstra,customer209@example.com,mid-market
CUST-210,Dennis Ritchie,customer210@example.com,enterprise
CUST-211,Radia Torvalds,customer211@example.com,public-sector
CUST-212,Leslie Lovelace,customer212@example.com,education
CUST-213,Frances Dijkstra,customer213@example.com,startup
CUST-214,Tim Ritchie,customer214@example.com,mid-market
CUST-215,Linus Torvalds,customer215@example.com,enterprise
CUST-216,Guido Lovelace,customer216@example.com,public-sector
CUST-217,Brendan Dijkstra,customer217@example.com,education
CUST-218,Anita Ritchie,customer218@example.com,startup
CUST-219,Mary Torvalds,customer219@example.com,mid-market
CUST-220,Ada Lovelace,customer220@example.com,enterprise
CUST-221,Alan Dijkstra,customer221@example.com,public-sector
CUST-222,Grace Ritchie,customer222@example.com,education
CUST-223,Katherine Torvalds,customer223@example.com,startup
CUST-224,Dorothy Lovelace,customer224@example.com,mid-market
CUST-225,Edsger Dijkstra,customer225@example.com,enterprise
CUST-226,Barbara Ritchie,customer226@example.com,public-sector
CUST-227,Donald Torvalds,customer227@example.com,education
CUST-228,Margaret Lovelace,customer228@example.com,startup
CUST-229,Ken Dijkstra,customer229@example.com,mid-market
CUST-230,Dennis Ritchie,customer230@example.com,enterprise
CUST-231,Radia Torvalds,customer231@example.com,public-sector
CUST-232,Leslie Lovelace,customer232@example.com,education
CUST-233,Frances Dijkstra,customer233@example.com,startup
CUST-234,Tim Ritchie,customer234@example.com,mid-market
CUST-235,Linus Torvalds,customer235@example.com,enterprise
CUST-236,Guido Lovelace,customer236@example.com,public-sector
CUST-237,Brendan Dijkstra,customer237@example.com,education
CUST-238,Anita Ritchie,customer238@example.com,startup
CUST-239,Mary Torvalds,customer239@example.com,mid-market
CUST-240,Ada Lovelace,customer240@example.com,enterprise
CUST-241,Alan Dijkstra,customer241@example.com,public-sector
CUST-242,Grace Ritchie,customer242@example.com,education
CUST-243,Katherine Torvalds,customer243@example.com,startup
CUST-244,Dorothy Lovelace,customer244@example.com,mid-market
CUST-245,Edsger Dijkstra,customer245@example.com,enterprise
CUST-246,Barbara Ritchie,customer246@example.com,public-sector
CUST-247,Donald Torvalds,customer247@example.com,education
CUST-248,Margaret Lovelace,customer248@example.com,startup
CUST-249,Ken Dijkstra,customer249@example.com,mid-market
CUST-250,Dennis Ritchie,customer250@example.com,enterprise
