orderId,status,customer.email,lineItems.0.sku,lineItems.0.qty,lineItems.1.sku,lineItems.1.qty
ORD-9112,shipped,buyer112@example.com,SKU-I,5,,
ORD-9113,cancelled,buyer113@example.com,SKU-J,6,SKU-Q,1
ORD-9114,returned,buyer114@example.com,SKU-K,1,SKU-R,2
ORD-9115,open,buyer115@example.com,SKU-L,2,SKU-S,3
ORD-9116,paid,buyer116@example.com,SKU-M,3,,
ORD-9117,shipped,buyer117@example.com,SKU-N,4,SKU-U,5
ORD-9118,cancelled,buyer118@example.com,SKU-O,5,SKU-V,1
ORD-9119,returned,buyer119@example.com,SKU-P,6,SKU-W,2
ORD-9120,open,buyer120@example.com,SKU-Q,1,,
ORD-9121,paid,buyer121@example.com,SKU-R,2,SKU-Y,4
ORD-9122,shipped,buyer122@example.com,SKU-S,3,SKU-Z,5
ORD-9123,cancelled,buyer123@example.com,SKU-T,4,SKU-A,1
ORD-9124,returned,buyer124@example.com,SKU-U,5,,
ORD-9125,open,buyer125@example.com,SKU-V,6,SKU-C,3
ORD-9126,paid,buyer126@example.com,SKU-W,1,SKU-D,4
ORD-9127,shipped,buyer127@example.com,SKU-X,2,SKU-E,5
ORD-9128,cancelled,buyer128@example.com,SKU-Y,3,,
ORD-9129,returned,buyer129@example.com,SKU-Z,4,SKU-G,2
ORD-9130,open,buyer130@example.com,SKU-A,5,SKU-H,3
ORD-9131,paid,buyer131@example.com,SKU-B,6,SKU-I,4
ORD-9132,shipped,buyer132@example.com,SKU-C,1,,
ORD-9133,cancelled,buyer133@example.com,SKU-D,2,SKU-K,1
ORD-9134,returned,buyer134@example.com,SKU-E,3,SKU-L,2
ORD-9135,open,buyer135@example.com,SKU-F,4,SKU-M,3
ORD-9136,paid,buyer136@example.com,SKU-G,5,,
ORD-9137,shipped,buyer137@example.com,SKU-H,6,SKU-O,5
ORD-9138,cancelled,buyer138@example.com,SKU-I,1,SKU-P,1
ORD-9139,returned,buyer139@example.com,SKU-J,2,SKU-Q,2
ORD-9140,open,buyer140@example.com,SKU-K,3,,
ORD-9141,paid,buyer141@example.com,SKU-L,4,SKU-S,4
ORD-9142,shipped,buyer142@example.com,SKU-M,5,SKU-T,5
ORD-9143,cancelled,buyer143@example.com,SKU-N,6,SKU-U,1
ORD-9144,returned,buyer144@example.com,SKU-O,1,,
ORD-9145,open,buyer145@example.com,SKU-P,2,SKU-W,3
ORD-9146,paid,buyer146@example.com,SKU-Q,3,SKU-X,4
ORD-9147,shipped,buyer147@example.com,SKU-R,4,SKU-Y,5
ORD-9148,cancelled,buyer148@example.com,SKU-S,5,,
ORD-9149,returned,buyer149@example.com,SKU-T,6,SKU-A,2
ORD-9150,open,buyer150@example.com,SKU-U,1,SKU-B,3
ORD-9151,paid,buyer151@example.com,SKU-V,2,SKU-C,4
ORD-9152,shipped,buyer152@example.com,SKU-W,3,,
ORD-9153,cancelled,buyer153@example.com,SKU-X,4,SKU-E,1
ORD-9154,returned,buyer154@example.com,SKU-Y,5,SKU-F,2
ORD-9155,open,buyer155@example.com,SKU-Z,6,SKU-G,3
ORD-9156,paid,buyer156@example.com,SKU-A,1,,
ORD-9157,shipped,buyer157@example.com,SKU-B,2,SKU-I,5
ORD-9158,cancelled,buyer158@example.com,SKU-C,3,SKU-J,1
ORD-9159,returned,buyer159@example.com,SKU-D,4,SKU-K,2
ORD-9160,open,buyer160@example.com,SKU-E,5,,
ORD-9161,paid,buyer161@example.com,SKU-F,6,SKU-M,4
ORD-9162,shipped,buyer162@example.com,SKU-G,1,SKU-N,5
ORD-9163,cancelled,buyer163@example.com,SKU-H,2,SKU-O,1
ORD-9164,returned,buyer164@example.com,SKU-I,3,,
ORD-9165,open,buyer165@example.com,SKU-J,4,SKU-Q,3
ORD-9166,paid,buyer166@example.com,SKU-K,5,SKU-R,4
ORD-9167,shipped,buyer167@example.com,SKU-L,6,SKU-S,5
ORD-9168,cancelled,buyer168@example.com,SKU-M,1,,
ORD-9169,returned,buyer169@example.com,SKU-N,2,SKU-U,2
ORD-9170,open,buyer170@example.com,SKU-O,3,SKU-V,3
ORD-9171,paid,buyer171@example.com,SKU-P,4,SKU-W,4
ORD-9172,shipped,buyer172@example.com,SKU-Q,5,,
ORD-9173,cancelled,buyer173@example.com,SKU-R,6,SKU-Y,1
ORD-9174,returned,buyer174@example.com,SKU-S,1,SKU-Z,2
ORD-9175,open,buyer175@example.com,SKU-T,2,SKU-A,3
ORD-9176,paid,buyer176@example.com,SKU-U,3,,
ORD-9177,shipped,buyer177@example.com,SKU-V,4,SKU-C,5
ORD-9178,cancelled,buyer178@example.com,SKU-W,5,SKU-D,1
ORD-9179,returned,buyer179@example.com,SKU-X,6,SKU-E,2
ORD-9180,open,buyer180@example.com,SKU-Y,1,,
ORD-9181,paid,buyer181@example.com,SKU-Z,2,SKU-G,4
ORD-9182,shipped,buyer182@example.com,SKU-A,3,SKU-H,5
ORD-9183,cancelled,buyer183@example.com,SKU-B,4,SKU-I,1
ORD-9184,returned,buyer184@example.com,SKU-C,5,,
ORD-9185,open,buyer185@example.com,SKU-D,6,SKU-K,3
ORD-9186,paid,buyer186@example.com,SKU-E,1,SKU-L,4
ORD-9187,shipped,buyer187@example.com,SKU-F,2,SKU-M,5
ORD-9188,cancelled,buyer188@example.com,SKU-G,3,,
ORD-9189,returned,buyer189@example.com,SKU-H,4,SKU-O,2
ORD-9190,open,buyer190@example.com,SKU-I,5,SKU-P,3
ORD-9191,paid,buyer191@example.com,SKU-J,6,SKU-Q,4
ORD-9192,shipped,buyer192@example.com,SKU-K,1,,
ORD-9193,cancelled,buyer193@example.com,SKU-L,2,SKU-S,1
ORD-9194,returned,buyer194@example.com,SKU-M,3,SKU-T,2
ORD-9195,open,buyer195@example.com,SKU-N,4,SKU-U,3
ORD-9196,paid,buyer196@example.com,SKU-O,5,,
ORD-9197,shipped,buyer197@example.com,SKU-P,6,SKU-W,5
ORD-9198,cancelled,buyer198@example.com,SKU-Q,1,SKU-X,1
ORD-9199,returned,buyer199@example.com,SKU-R,2,SKU-Y,2
ORD-9200,open,buyer200@example.com,SKU-S,3,,
ORD-9201,paid,buyer201@example.com,SKU-T,4,SKU-A,4
ORD-9202,shipped,buyer202@example.com,SKU-U,5,SKU-B,5
ORD-9203,cancelled,buyer203@example.com,SKU-V,6,SKU-C,1
ORD-9204,returned,buyer204@example.com,SKU-W,1,,
ORD-9205,open,buyer205@example.com,SKU-X,2,SKU-E,3
ORD-9206,paid,buyer206@example.com,SKU-Y,3,SKU-F,4
ORD-9207,shipped,buyer207@example.com,SKU-Z,4,SKU-G,5
ORD-9208,cancelled,buyer208@example.com,SKU-A,5,,
ORD-9209,returned,buyer209@example.com,SKU-B,6,SKU-I,2
ORD-9210,open,buyer210@example.com,SKU-C,1,SKU-J,3
ORD-9211,paid,buyer211@example.com,SKU-D,2,SKU-K,4
ORD-9212,shipped,buyer212@example.com,SKU-E,3,,
ORD-9213,cancelled,buyer213@example.com,SKU-F,4,SKU-M,1
ORD-9214,returned,buyer214@example.com,SKU-G,5,SKU-N,2
ORD-9215,open,buyer215@example.com,SKU-H,6,SKU-O,3
ORD-9216,paid,buyer216@example.com,SKU-I,1,,
ORD-9217,shipped,buyer217@example.com,SKU-J,2,SKU-Q,5
ORD-9218,cancelled,buyer218@example.com,SKU-K,3,SKU-R,1
ORD-9219,returned,buyer219@example.com,SKU-L,4,SKU-S,2
ORD-9220,open,buyer220@example.com,SKU-M,5,,
ORD-9221,paid,buyer221@example.com,SKU-N,6,SKU-U,4
ORD-9222,shipped,buyer222@example.com,SKU-O,1,SKU-V,5
ORD-9223,cancelled,buyer223@example.com,SKU-P,2,SKU-W,1
ORD-9224,returned,buyer224@example.com,SKU-Q,3,,
ORD-9225,open,buyer225@example.com,SKU-R,4,SKU-Y,3
ORD-9226,paid,buyer226@example.com,SKU-S,5,SKU-Z,4
ORD-9227,shipped,buyer227@example.com,SKU-T,6,SKU-A,5
ORD-9228,cancelled,buyer228@example.com,SKU-U,1,,
ORD-9229,returned,buyer229@example.com,SKU-V,2,SKU-C,2
ORD-9230,open,buyer230@example.com,SKU-W,3,SKU-D,3
ORD-9231,paid,buyer231@example.com,SKU-X,4,SKU-E,4
ORD-9232,shipped,buyer232@example.com,SKU-Y,5,,
ORD-9233,cancelled,buyer233@example.com,SKU-Z,6,SKU-G,1
ORD-9234,returned,buyer234@example.com,SKU-A,1,SKU-H,2
ORD-9235,open,buyer235@example.com,SKU-B,2,SKU-I,3
ORD-9236,paid,buyer236@example.com,SKU-C,3,,
ORD-9237,shipped,buyer237@example.com,SKU-D,4,SKU-K,5
ORD-9238,cancelled,buyer238@example.com,SKU-E,5,SKU-L,1
ORD-9239,returned,buyer239@example.com,SKU-F,6,SKU-M,2
ORD-9240,open,buyer240@example.com,SKU-G,1,,
ORD-9241,paid,buyer241@example.com,SKU-H,2,SKU-O,4
ORD-9242,shipped,buyer242@example.com,SKU-I,3,SKU-P,5
ORD-9243,cancelled,buyer243@example.com,SKU-J,4,SKU-Q,1
ORD-9244,returned,buyer244@example.com,SKU-K,5,,
ORD-9245,open,buyer245@example.com,SKU-L,6,SKU-S,3
ORD-9246,paid,buyer246@example.com,SKU-M,1,SKU-T,4
ORD-9247,shipped,buyer247@example.com,SKU-N,2,SKU-U,5
ORD-9248,cancelled,buyer248@example.com,SKU-O,3,,
ORD-9249,returned,buyer249@example.com,SKU-P,4,SKU-W,2
ORD-9250,open,buyer250@example.com,SKU-Q,5,SKU-X,3
